JnlTranID,Zip Code,DATE
15984438,46140,11/24/2014
15984440,46140,11/24/2014
15984508,2703,11/24/2014
15984524,47408,11/24/2014
15984527,46201,11/24/2014
15984537,46205,11/24/2014
15984538,47803,11/24/2014
15984539,47850,11/24/2014
15984558,46237,11/24/2014
15984571,46167,11/24/2014
15984573,46222,11/24/2014
15984578,46168,11/24/2014
15984584,54017,11/24/2014
15984595,46202,11/24/2014
15984601,46229,11/24/2014
15984647,62704,11/24/2014
15984732,46226,11/24/2014
15984734,46808,11/24/2014
15984736,97214,11/24/2014
15984745,46227,11/24/2014
15984764,46970,11/24/2014
15984843,46217,11/24/2014
15984853,46260,11/24/2014
15984856,46123,11/24/2014
15984861,46227,11/24/2014
15984864,46158,11/24/2014
15984870,46220,11/24/2014
15984871,45251,11/24/2014
15984876,46260,11/24/2014
15984883,46140,11/24/2014
15984890,46201,11/24/2014
15984895,46112,11/24/2014
15984896,46219,11/24/2014
15984904,46032,11/24/2014
15984912,46131,11/24/2014
15984914,46202,11/24/2014
15984967,47401,11/24/2014
15985031,46201,11/24/2014
15985052,46203,11/24/2014
15985053,46203,11/24/2014
15985060,46224,11/24/2014
15985062,46231,11/24/2014
15985063,47401,11/24/2014
15985064,47401,11/24/2014
15985065,47401,11/24/2014
15985066,47404,11/24/2014
15985067,46819,11/24/2014
15985068,47802,11/24/2014
15985071,47201,11/24/2014
15985073,46205,11/24/2014
15985075,46254,11/24/2014
15985078,46033,11/24/2014
15985079,46204,11/24/2014
15985080,46204,11/24/2014
15985089,46278,11/24/2014
15985096,46204,11/24/2014
15985101,46123,11/24/2014
15985108,46034,11/24/2014
15985165,47167,11/25/2014
15985183,47459,11/25/2014
15985186,47401,11/25/2014
15985261,46123,11/25/2014
15985276,47401,11/25/2014
15985284,45103,11/25/2014
15985296,46256,11/25/2014
15985298,8560,11/25/2014
15985299,46176,11/25/2014
15985309,47906,11/25/2014
15985310,16801,11/25/2014
15985311,84092,11/25/2014
15985325,48381,11/25/2014
15985332,47906,11/25/2014
15985333,46260,11/25/2014
15985339,46231,11/25/2014
15985342,33764,11/25/2014
15985344,46237,11/25/2014
15985356,32927,11/25/2014
15985360,46206,11/25/2014
15985367,46208,11/25/2014
15985369,46140,11/25/2014
15985376,40517,11/25/2014
15985378,47424,11/25/2014
15985382,46037,11/25/2014
15985397,47408,11/25/2014
15985437,46750,11/25/2014
15985440,46220,11/25/2014
15985458,46410,11/25/2014
15985462,46240,11/25/2014
15985463,46151,11/25/2014
15985480,46167,11/25/2014
15985481,40299,11/25/2014
15985482,46902,11/25/2014
15985486,45822,11/25/2014
15985490,46202,11/25/2014
15985501,46168,11/25/2014
15985522,47401,11/25/2014
15985523,47408,11/25/2014
15985535,46237,11/25/2014
15985548,46032,11/25/2014
15985550,46037,11/25/2014
15985571,46158,11/25/2014
15985575,46227,11/25/2014
15985581,39047,11/25/2014
15985584,46205,11/25/2014
15985585,46202,11/25/2014
15985592,46038,11/25/2014
15985593,46201,11/25/2014
15985596,46703,11/25/2014
15985597,46163,11/25/2014
15985612,46202,11/25/2014
15985615,46221,11/25/2014
15985616,46205,11/25/2014
15985618,47951,11/25/2014
15985620,46123,11/25/2014
15985621,46123,11/25/2014
15985640,47201,11/25/2014
15985711,46240,11/25/2014
15985768,47396,11/25/2014
15985786,45251,11/25/2014
15985791,46237,11/25/2014
15985793,46220,11/25/2014
15985795,46202,11/25/2014
15985798,46168,11/25/2014
15985799,46168,11/25/2014
15985800,46168,11/25/2014
15985801,46236,11/25/2014
15985805,46208,11/25/2014
15985806,46298,11/25/2014
15985808,46202,11/25/2014
15985812,45044,11/25/2014
15985815,46250,11/25/2014
15985817,46220,11/25/2014
15985818,46220,11/25/2014
15985822,46237,11/25/2014
15985823,46280,11/25/2014
15985824,37203,11/25/2014
15985825,77450,11/25/2014
15985827,46202,11/25/2014
15985828,46220,11/25/2014
15985830,46209,11/25/2014
15985832,46205,11/25/2014
15985838,46220,11/25/2014
